date,plane_type,loc,country,ref,airline,fat,px,cat,phase,cert,meta,cause,notes
"2006-11-09,Let L-410UVP,near Walikale,Congo (Democratic Republic),9Q-CBQ,Gomair,1,15,A1,landing,suspected,mechanical,engine failure,""runway strip doubled as a traffic road. traffic resumed on road after plane took off. plane returned because of engine problems, during emergency landing it crashed into vehicles and killed 1 passenger in a vehicle)."""
2006-11-17,DHC-6 Twin Otter 300,Puncak Jaya,Indonesia,PK-YPY,Trigana Air Service,12,27,A1,en_route,unknown,unknown,unknown,aircraft was chartered by the regency administration to take officials to talk with residents in several districts. The wreckage was found the next morning.
2007-01-01,Boeing 737-4Q8,near Pambauang,Indonesia,PK-KKW,AdamAir,102,60,A1,en_route,confirmed,human_error,pilot error,the worst ever crash involving a 737-400 (Wikipedia)
2007-03-07,Boeing 737-497,Yogyakarta-Adisutjipto Airport ,Indonesia,PK-GZC,Garuda,21,33,A1,landing,confirmed,human_error,pilot error,
2007-03-17,Tupolev 134A-3,Samara Airport,Russia,RA-65021,UTAir,6,22,A1,landing,confirmed,human_error,pilot & crew error,
2007-05-05,Boeing 737-8AL,near Douala Airport,Cameroon,5Y-KYA,Kenya Airways,114,63,A1,en_route,probable,human_error,pilot error,
2007-06-21,Let L-410UVP,near Kamina,DR Congo,9Q-CEU,Karibu Airways,1,15,A1,en_route,unknown,unknown,unknown,
"2007-06-25,Antonov 24B,Phnom Damrey,Cambodia,XU-U4A,PMT Air,22,33,A1,en_route,unknown,unknown,unknown,""Bad weather and the location of crash site, deep in the jungle, made the efforts of search and rescue teams difficult."""
"2007-06-28,Boeing 737-2M2,M'Banza Congo Airport,Angola,D2-TBP,TAAG Angola Airlines,6,22,A1,landing,unknown,unknown,unknown,""The plane collided with two cars and a building, resulting in the deaths of four passengers and one crew member."""
"2007-07-17,Airbus A320-233,""São Paulo-Congonhas Airport, SP"",Brazil,PR-MBK,TAM Brasil,199,81,A1,landing,unknown,unknown,unknown,""Since the runway is at a higher elevation than the surrounding street and residential area, the A320 probably became airborne, cleared the perimeter fence and a busy highway and collided with a concrete building, bursting into flames."""
2007-08-09,DHC-6 Twin Otter 300,near Moorea-Temae Airport ,French Polynesia,F-OIQI,Air Moorea,20,32,A1,initial_climb,confirmed,mechanical,mechanical failure,
2007-09-16,MD-82,Phuket International Airport,Thailand,HS-OMG,One-Two-Go Airlines,90,57,A1,landing,probable,human_error,pilot & crew error,
2007-10-08,Let L-410UVP-E10A,near Cubarral,Colombia,HK-4055,Nacional de Aviación,17,31,A1,en_route,confirmed,human_error,pilot error,
"2007-11-30,MD-83,near Isparta Airport,Turkey,TC-AKM,""World Focus Airlines, operating for Atlasjet"",57,48,A1,approach,probable,human_error,pilot error,""Upon investigation of the black box of the aircraft in Lufthansa laboratories, the cockpit voice recorder device was found to have been inoperative for the 9 days leading up to the accident,[8] in contravention of regulations which specify that it must be made operable within 72 hours of the fault being discovered.[9] In addition, the flight data recorder was not working properly and only contained 15 minutes of flight data."""
"2008-01-04,Let L-410UVP-E3,near Los Roques Airport,Venezuela,YV2081,Transaven,14,29,A1,en_route,confirmed,mechanical,mechanical failure,""The wreckage was not located until a new search operation was started in 2013 using the Sea Scout, a 134-foot survey vessel."""
2008-01-19,Beechcraft B200 Super King Air,near Bailundo,,D2-FFK,Gira Globo,13,28,A1,approach,probable,human_error,pilot error,
2008-02-21,ATR-42-300,near Mérida-A Carnevalli Airport ,Venezuela,YV1449,Santa Bárbara Airlines,46,44,A1,en_route,confirmed,human_error,pilot & crew error,Worst ever accident involving the ATR 42. (Wikipedia)
"2008-04-03,Antonov 28,Lawa-Antino Airport,Suriname,PZ-TSO,Blue Wing Airlines,19,32,A1,en_route,unknown,unknown,unknown,""The pilot, Soeriani Jhauw-Verkuijl, was the wife of Blue Wing Airlines president Amichand Jhauw."""
"2008-04-15,DC-9-51,Goma Airport,Congo (Democratic Republic),9Q-CHN,Hewa Bora Airways,40,42,A1,takeoff,unknown,unknown,unknown,""In their 2011 report to Congress, the NTSB classified this accident as a major ongoing investigation in which they were assisting the Democratic Republic of the Congo."""
2008-04-16,Antonov 32,near Annobón Island,Equatorial Guinea,3C-5GE,Equatorial Guinea National Guard,13,28,A1,landing,unknown,unknown,unknown,
"2008-05-02,Beechcraft 1900C,near Rumbek,South Sudan,5Y-FLX,""Flex Air, operating for Southern Sudan Air Connection"",21,33,A1,en_route,probable,mechanical,engine failure,""The airplane was carrying a delegation of leaders from the (former rebel) Sudan People's Liberation Movement (SPLM). One of the passengers was Dominic Dim, southern Sudan's minister of defence."""
2008-05-30,Airbus A320-233,Tegucigalpa-Toncontin Airport ,Honduras,EI-TAF,TACA Airlines,5,21,A1,landing,confirmed,human_error,pilot error,
2008-06-10,Airbus A310-324,Khartoum-Civil Airport,Sudan,ST-ATN,Sudan Airways,30,37,A1,landing,confirmed,human_error,pilot & crew error,
2008-07-10,Beechcraft 99A,near Puerto Montt,Chile,CC-CFM,Aerocord,9,25,A1,approach,probable,human_error,pilot error,
2008-08-20,MD-82,Adolfo Suárez Madrid-Barajas Airport,Spain,EC-HFP,Spanair,154,72,A1,takeoff,confirmed,human_error,pilot & crew error,
2008-08-24,Boeing 737-219,near Bishkek-Manas International Airport,Kyrgyzstan,EX-009,Itek Air,65,50,A1,approach,confirmed,human_error,pilot & crew error,
2008-09-14,Boeing 737-505,near Perm Airport,Russia,VP-BKO,Aeroflot-Nord,88,57,A1,approach,probable,human_error,pilot error,worst ever accident involving the Boeing 737–500 (Wikipedia)
"2008-10-08,DHC-6 Twin Otter 300,""Lukla,Tenzin Norgey Airport"",Nepal,9N-AFE,Yeti Airlines,18,31,A1,landing,probable,human_error,pilot & crew error,"
"2009-02-07,Embraer 110P1 Bandeirante,near Santo António,Brazil,PT-SEA,Manaus Aerotáxi,24,34,A1,en_route,confirmed,mechanical,overloaded,""Plane has maximum passenger seats of 19, but 26 were travelling including 8 children. Total plane weight was 6414kg, compared to the max weight allowed of 5670kg"""
"2009-02-12,DHC-8-402 Q400,near Buffalo Niagara International Airport,USA,N200WQ,Colgan Air,50,45,A1,approach,probable,human_error,pilot error,""Noted that the flight crew didn't adhere to cockpit procedures, and Colgan Air’s inadequate procedures for airspeed selection and management during approaches in icing conditions"""
2009-02-25,Boeing 737-8F2,near Amsterdam-Schiphol International Airport,Netherlands,TC-JGE,Turkish Airlines,9,25,A1,approach,confirmed,mechanical,mechanical failure,Plane was being flown by a pilot in training
2009-06-01,Airbus A330-203,near São Pedro,Atlantic Ocean (nr. Brazil),F-GZCP,Air France,228,85,A1,en_route,confirmed,human_error,maintenance & crew error,The obstruction of the Pitot probes by ice crystals during cruise was a phenomenon that was known but misunderstood by the aviation community at the time of the accident
2009-06-30,Airbus A310-324,near Mitsamiouli,Comoros,7O-ADJ,Yemenia Airways,152,72,A1,approach,probable,human_error,pilot & crew error,One surviver – a young girl
"2009-07-15,Tupolev 154M,near Qazvin,Iran,EP-CPG,Caspian Airlines,168,75,A1,en_route,unknown,unknown,unknown,""Plane entered a rapid descent to 14000 feet in just 90 seconds (which would be an average of 222 feet/sec, 67m/sec). Plane crash created a 10m deep crater"""
2009-07-24,Ilyushin 62M,Mashhad-Shahid Hashemi Nejad Airport ,Iran,UP-I6208,Aria Air,16,30,A1,landing,suspected,human_error,pilot error,Plane collided with a wall located more than 1100 meters from runway
2009-08-02,DHC-6 Twin Otter 300,near Oksibil Airport,Indonesia,PK-NVC,Merpati Nusantara,15,29,A1,en_route,suspected,human_error,pilot & crew error,
2009-08-04,ATR-72-212,Koh Samui Airport,Thailand,HS-PGL,Bangkok Airways,1,15,A1,landing,unknown,unknown,unknown,Plane collided with air control tower
"2009-11-12,Canadair CL-600-2B19 Regional,Kigali Airport,Rwanda,5Y-JLD,""JetLink Express, operating for Rwandair Express"",1,15,A1,grounded,confirmed,mechanical,mechanical failure,Hit the VIP wing of the building. The nose of the plane was buried inside the building up to and including the left hand forward passenger door."
2010-01-25,Boeing 737-8AS (WL),near Beirut International Airport,Lebanon,ET-ANB,Ethiopian Airlines,90,57,A1,initial_climb,confirmed,human_error,pilot & crew error,The flight crew failure to abide by CRM principles of mutual support
2010-05-12,Airbus A330-202,near Tripoli International Airport,libya,5A-ONG,Afriqiyah Airways,103,61,A1,approach,confirmed,weather,low visibility,one passenger survived
2010-05-17,Antonov 24B,Salang Pass,Afghanistan,YA-PIS,Pamir Airways,44,43,A1,en_route,suspected,weather,low visibility,wreckage was found 2 days later scattered over the mountainside
2010-05-22,Boeing 737-8HG (WL),Mangalore-Bajpe Airport,India,VT-AXV,Air India Express,158,73,A1,landing,confirmed,human_error,pilot error,Airport has a table top runway – aerodrome located on hilltop. Valleys 200ft to 250ft immediately beyond paved surface of runway
"2010-07-28,Airbus A321-231,near Islamabad-Benazir Bhutto International Airport,Pakistan,AP-BJB,Airblue,152,72,A1,approach,confirmed,human_error,pilot error,""The captain decided to fly a non-standard self-created PBD (Place Bearing Distance, RNAV waypoint)-based approach. He had been bullying the first officer throughout the flight so the first officer did not stand up to the captain's decisions"""
2010-08-16,Boeing 737-73V (WL),San Andres Island-Gustavo Rojas Pinilla Airport,Columbia,HK-4682,AIRES Colombia,2,17,A1,landing,confirmed,human_error,pilot error,Impact of hit made plane break into 3 parts
"2010-08-24,Embraer ERJ 190-100 LR (ERJ-1,near Yichun Lindu Airport,China,B-3130,Henan Airlines,44,43,A1,landing,confirmed,human_error,pilot error,""The reported visibility of 2800 m was below the minimum of 3600 m. A contributing factor to the accident was Henan Airlines' weak safety management. The parent company, Shenzen Airlines failed to supervise the safety management at Henan Airlines."""
2010-09-13,ATR-42-320,near Puerto Ordaz Airport ,Venuzuela,YV1010,Conviasa,17,31,A1,approach,unknown,unknown,unknown,unusual that there was no further information noted about the crash other than it missed the runway
"2010-11-04,ATR-72-212,""near Guasimal, Sancti Spiritus Province"",Cuba,CU-T1549,Aerocaribbean,68,51,A1,en_route,confirmed,human_error,pilot & crew error,no survivors"
"2010-12-04,Tupolev 154M,Moskva-Domodedovo Airport,Russia,RA-85744,""Aeroflot, North Kavkaz Civil Aviation Directorate, operating for Dagestan"",2,17,A1,landing,confirmed,mechanical,mechanical failure,""This was the same aircraft (RA-85744) that was used to transport the Belgium national football team from Brussels to Voronezh on November 16, 2010 for their match against Russia."""
2011-01-01,Tupolev 154B-2,Surgut Airport,Russia,RA-85588,Kolavia,3,19,A1,grounded,probable,mechanical,electric fire,
2011-01-09,Boeing 727-286,near Urmia (Orumiyeh) Airport,Iran,EP-IRP,Iran Air,77,54,A1,approach,suspected,weather,low visibility,
"2011-02-10,Swearingen SA227-BC Metro III,Cork Airport,Ireland,EC-ITP,""Flightline, operating for Manx2"",6,22,A1,landing,suspected,weather,low visibility,crashed on its third attempt to land. Pilot had recently been promoted from co-pilot."
"2011-02-14,Let L-410UVP-E20,near Cerro de Hula,Honduras,HR-AUQ,Central American Airways,14,29,A1,en_route,unknown,unknown,collision,""Among the dead were Rodolfo Rovelo, Honduran Assistant Secretary for Public Works, and Jose Israel Salinas, leader of the United Workers Federation of Honduras, Plutarco Molina Castellanos, CEO of Constructora William - Molina, and Former finance minister Carlos Chain. In response to the incident, the government of Honduras declared three days of national mourning for the deceased government officials."""
"2011-04-04,Canadair CL-600-2B19 Regional,Kinshasa-N'Djili Airport ,Congo (Democratic Republic),4L-GAE,""Georgian Airways, operating for UN"",32,38,A1,landing,suspected,weather,low visibility,The airplane operated on behalf of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo. Only 1 survivor."
2011-05-07,Xian MA60,near Kaimana-Utarom Airport,Indonesia,PK-MZK,Merpati Nusantara,25,35,A1,approach,confirmed,human_error,pilot error,
"2011-05-18,Saab 340A,""near Prahuaniyeu, RN"",Argentina,LV-CEJ,SOL Líneas Aéreas,22,33,A1,en_route,probable,mechanical,mechanical failure,"
"2011-06-20,Tupolev 134A-3,near Petrozavodsk Airport,Russia,RA-65691,""RusAir, operating for RusLine"",47,44,A1,approach,confirmed,human_error,pilot & crew error,""As a result of the crash, all Tu-134s were to be withdrawn from commercial service in Russia."""
2011-07-08,Boeing 727-022 (WL),Kisangani-Bangoka International Airport,Congo (Democratic Republic),9Q-COP,Hewa Bora Airways,77,54,A1,landing,suspected,weather,bad weather,investigation found that the captain of the aircraft and the tower controllers were not licenced.
2011-07-11,Antonov 24RV,near Strezhevoy,Russia,RA-47302,Angara Airlines,7,23,A1,en_route,confirmed,human_error,maintenance & crew error,A criminal investigation was opened and two officials of Angara Airlines were charged.
2011-07-13,Let L-410UVP-E20,near Recife-Guararapes International Airport,Brazil,PR-NOB,NOAR Linhas Aéreas,16,30,A1,initial_climb,suspected,mechanical,engine failure,
"2011-08-20,Boeing 737-210C,near Resolute Airport,Canada,C-GNWN,First Air,12,27,A1,approach,suspected,human_error,pilot & crew error,""The Canadian Forces were conducting Operation Nanook 2011 nearby, which was about to simulate an air disaster in the Resolute Bay area and Royal Canadian Air Force firefighters were the first to respond and reach the crash site"""
"2011-09-06,Swearingen SA227-BC Metro III,near Trinidad Airport,Bolivia,CP-2548,Aerocon,8,24,A1,approach,unknown,unknown,unknown,""sole survivor found on September 9. The crash was heard by two fishermen, who informed the authorities of the approximate location of the crash"""
"2011-09-07,Yakovlev 42D,near Yaroslavl-Tunoshna Airport ,Russia,RA-42434,YAK Service,44,43,A1,initial_climb,confirmed,human_error,pilot & crew error,""The airplane carried members of the Lokomotiv Yaroslavl ice hockey professional  team for a match in Minsk. It was later revealed that the pilots were illegally flying the plane, having falsified needed documents to gain permission to fly the plane."""
2011-09-20,Beechcraft 99A,near Milot,Haiti,HH-APA,SALSA d'Haiti,3,19,A1,en_route,unknown,unknown,collision,
2011-09-25,Beechcraft 1900D,near Kathmandu-Tribhuvan Airport,Nepal,9N-AEK,Buddha Air,19,32,A1,approach,suspected,human_error,pilot & crew error,tourist sightseeing flight
2011-09-29,CASA/Nurtanio NC-212 Aviocar 2,near Kutacane-Alas Leuser Airport ,Indonesia,PK-TLF,Nusantara Buana Air,18,31,A1,en_route,unknown,unknown,collision,
"2011-10-13,DHC-8-102,near Madang Airport,Papua New Guinea,P2-MCJ,Airlines PNG,28,36,A1,approach,suspected,mechanical,engline loss,""the pilot-in-command  who was the handling pilot, was hand-flying the aircraft because the autopilot was unserviceable. After the crash, Airlines PNG decided to ground its entire fleet of 12 Dash 8s until further notice"""
2012-04-02,ATR-72-201,near Tyumen Airport,Russia,VP-BYZ,UTAir,33,39,A1,initial_climb,suspected,human_error,maintenance & crew error,
"2012-04-20,Boeing 737-236,near Islamabad-Benazir Bhutto International Airport,Pakistan,AP-BKC,Bhoja Airlines,127,66,A1,Approach,suspected,human_error,maintenance & crew error,""- This was Bhoja Airlines' inaugural flight on that route. - It was the second-deadliest aviation accident in Pakistan. - eyewitnesses stated that the aircraft may have been struck by lightning prior to the crash, describing it as a """"ball of fire."""" - Farooq Bhoja, the owner of Bhoja Air, has been put on the Exit Control List, meaning he may not leave the country while the criminal investigation is underway against him and the airline."""
"2012-05-14,Dornier 228-212,near Jomsom Airport,Nepal,9N-AIG,Agni Air,15,29,A1,approach,unknown,unknown,collision,""Among others the crash also claimed the lives of Taruni Sachdev, a 14-year-old child actress from India, and her mother."""
"2012-06-03,MD-83,near Lagos Murtala Muhammed International Airport,Nigeria,5N-RAM,Dana Air,163,74,A1,approach,suspected,mechanical,engine failure,""crashed into a crowded neighbourhood near the Airport, apparently landing on its tail and causing a large fire. Crowds attempted to bring hoses to the site while soldiers attempted to disperse onlookers with punches and rubber whips. The onlookers then threw stones at the soldiers in retaliation. Water for firefighting was scarce for several hours due to the city's shortage of fire trucks, and civilians attempted to fight the fire by hand with water from plastic buckets"""
2012-06-29,Embraer ERJ 190-100 LR (ERJ-1,Hotan Airport,China,B-3171,Tianjin Airlines,2,17,H2,en_route,confirmed,criminal,hijacking,According to media reports the hijackers carried explosives and had attempted to break into the airplane's cockpit with a crutch.
2012-08-19,Antonov 26-100,near Talodi,Sudan,ST-ARL,Alfa Airlines,32,38,A1,approach,suspected,weather,dust storm,The airplane carried Sudanese government officials to attend a function marking the Muslim Eid al-Fitr holiday
"2012-08-22,Let L-410UVP-E9,Ngerende Airport,Kenya,5Y-UVP,Mombasa Air Safari,4,20,A1,takeoff,unknown,unknown,unknown,""""""It was taking off for another airstrip when the pilots apparently lost control of the airplane on takeoff."""""""
2012-09-12,Antonov 28,near Palana Airport,Russia,RA-28715,Petropavlovsk-Kamchatsky Air Ent.,10,26,A1,approach,confirmed,human_error,pilot & crew error,
"2012-09-28,Dornier 228-202,near Kathmandu-Tribhuvan Airport,Nepal,9N-AHA,Sita Air,19,32,A1,initial_climb,suspected,mechanical,bird strike,""Three minutes after take-off, on their way back to the Airport, the aircraft crashed on the banks of the Manohara river and caught fire. Rumours about brid strike are unconfirmed"""
"2012-12-22,Swearingen SA227-AC Metro III,Sanikiluaq Airport,Canada,C-GFWX,""Perimeter Aviation, operating for Kivalliq Air"",1,15,A1,landing,unknown,unknown,unknown,""one passenger, an infant, was fatally injured. The aircraft came to a stop approximately 150 to 200 metres past the end of the intended runway surface."""
"2012-12-25,Fokker 100,near Heho Airport,Myanmar,XY-AGC,Air Bagan,2,17,A1,landing,unknown,unknown,collision,""one passenger, a tour guide, was killed. A person who was travelling on a motor cycle on the ground was hit by the aircraft as it landed and was also killed. - Myanmar Information Ministry stated that the pilots mistook a road for the Airport's runway in conditions described by the airline as heavy fog and landed the aircraft in a rice field"""
"2013-01-29,Canadair CL-600-2B19 Regional,""near Almaty Airport, Kazakhstan"",Kazakhstan,UP-CJ006,SCAT Airlines,21,33,A1,approach,suspected,weather,bad weather,"
"2013-02-13,Antonov 24RV,near Donetsk Airport,Ukraine,UR-WRA,South Airlines,5,21,A1,landing,confirmed,human_error,pilot error,""""""unprepared crew"""""""
2013-07-06,Boeing 777-28EER,San Franciscp,USA,HL7742,Asiana Airlines,2,17,A1,landing,suspected,human_error,pilot error,
2013-07-07,DHC-3T Texas Turbine Otter,Soldotna Airport,USA,N93PC,Rediske Air,10,26,A1,takeoff,unknown,unknown,unknown,
2013-10-16,ATR-72,Mekong River,Laos,RDPL-34233,Laos Airlines,49,45,A1,landing,suspected,weather,bad weather,
2013-11-17,Boeing 747-53A,Kazan,Russia,VQ-BBN,Tatarstan Airlines,50,45,A1,landing,unknown,unknown,pilot or mechanical error,
2013-11-29,Embraer E190,Namibia,Namibia,C9-EMC,Mozambique Airlines,33,39,A1,en_route,unknown,unknown,unknown,
2014-02-16,DHC-6 Twin Otter 300,near Sandhikhark,Nepal,9N-ABB,Nepal Airlines,18,31,A1,en_route,suspected,weather,icing,Flight RA-183 was a domestic flight from Kathmandu to Jumla with an en route stop at Pokhara. The airplane took off from Pokhara at 12:43. Last radio contact was at 13:13. The airplane did not arrive at the scheduled arrival time of 13:45. The wreckage was located the following morning at an altitude of 7000 feet (2130 m). There were no surivors. On Feb 17th 2014 listeners on frequency reported that the aircraft attempted to divert to Bhairahawa Airport due to icing after the aircraft had flown into freezing rain.
"2014-03-08,Boeing 777-2H6ER,South China Sea,""Malaysia, Pacific Ocean"",9M-MRO,Malaysia Airlines,239,87,A1,en_route,unknown,unknown,unknown,""Malaysia Airlines Flight MH-370 from Kuala Lumpur, Malaysia to Beijing, China was reported missing. There were 227 passengers and 12 crew members on board. Unconfirmed media reports suggest that the airplane climbed to 45,000 feet, above the approved altitude limit for a Boeing 777-200, soon after it disappeared from civilian radar. The plane then descended unevenly to 23,000 feet. The plane was reportedly last recorded flying at 29,500 feet when radar contact was lost."""
2014-07-17,Boeing 777-2H6ER,near Donetsk,Ukraine,9M-MRD,Malaysia Airlines,298,96,A1,en_route,suspected,criminal,unknown,
2014-07-23,ATR 72-500,near Magong Airport,Taiwan,B-22810,TransAsia Airways,48,45,A1,en_route,suspected,weather,unknown,
2014-07-24,McDonnell Douglas MD-83,near Gossi ,Mali,EC-LTV,Air Algérie,116,64,A1,en_route,suspected,weather,unknown,
2014-08-10,HESA IrAn-140-100,near  Tehran-Mehrabad Airport,Iran,EP-GPA,Sepahan Airlines,39,41,A1,initial_climb,unknown,unknown,unknown,
2014-12-28,A320-200,coast of Borneo,Indonesia,QZ8501,AirAsia,162,74,A1,en_route,suspected,weather,unknown,
2015-03-24,A320-211,French Alps,France,4U 9525,GermanWings,150,71,A1,en_route,suspected,unknown,criminal,Still under investigation. But preliminary evidence suggests the co-pilot deliberated crashed the plane into the mountains after locking the pilot out of the cockpit.
2015-02-04,ATR 72-600,near Taipei,Taiwan,GE235,TransAsia Airways,43,43,A1,takeoff,suspected,unknown,mechanical,The plane hit a highway viaduct and plunged into the Keelung River shortly after take-off.  Crew reported an engine flameout.
2015-10-31,Airbus A321-321,Northern Sinai,Egypt,7K-9268,Metrojet,224,85,A1,ascent,suspected,criminal,bomb,
"2016-12-07,ATR 42,Havelian,Pakistan,PK-661,Pakistan International Airlines,48,45,A1,en route,suspected,mechanical,engine failure,""It's not clear what caused the crash, but a civil aviation official said the pilot made a distress call, reported engine failure. """
2016-05-19,Airbus A320,Sinai Peninsula,Egypt,MS804,Egypt Air,66,51,A1,en route,suspected,criminal,explosion,traces of explosives were found on the victims' remains.
"2016-03-19,Boeing 737-800,Rostov-on-Don,Russia,FZ981/FDB981,FlyDubai,62,49,A1,landing,unknown,unknown,unknown,""Investigation ongoing. Plane crashed while trying to land in the dark in a storm. Theories for the cause include pilot error, crew fatique, poor visibility & high winds.  """
2016-02-24,Viking Air DHC-6-400 Twin Otter,Dana,Nepal,9N-AHH,Tara Air,23,34,A1,en route,probable,mechanical,technical problem,
2016-02-26,PAX 750XL,Chilkhaya,Nepal,9N-AJB,Air Kasthamandap,2,17,A1,landing,probable,mechanical,technical problem,The plane was trying to make an emergency landing due to a technical problem. 
2016-04-13,Britten-Norman BN-2T Turbine Islander,Kiunga,Papua New Guinea,P2-SBC,Sunbird Aviation,12,27,A1,en route,probable,mechanical,technical problem,
